Company,Search Term,Title,Job ID,Location,Posted On,Job URL
Walmart,ai engineer,"(USA) Service Shop Repair Technician - Palestine, TX (2nd Shift)",R-2399174,US TX PALESTINE 06736 MAINTENANCE TRUCKING,Posted 30+ Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/US-TX-PALESTINE-06736-MAINTENANCE-TRUCKING/XMLNAME--USA--Service-Shop-Repair-Technician---Palestine--TX--2nd-Shift-_R-2399174
Walmart,ai engineer,"(USA) Service Shop Repair Technician - Plainview, TX (2ND Shift)",R-2417481,US TX PLAINVIEW 06712 MAINTENANCE TRUCKING,Posted 30+ Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/US-TX-PLAINVIEW-06712-MAINTENANCE-TRUCKING/XMLNAME--USA--Service-Shop-Repair-Technician---Plainview--TX--2ND-Shift-_R-2417481
Walmart,ai engineer,"(USA) Service Shop Repair Technician - Sanger, TX (2ND Shift)",R-2423212,US TX SANGER 06768 MAINTENANCE TRUCKING,Posted 27 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/US-TX-SANGER-06768-MAINTENANCE-TRUCKING/XMLNAME--USA--Service-Shop-Repair-Technician---Sanger--TX--2ND-Shift-_R-2423212-1
Walmart,ai engineer,Exterior Services Technician,R-2369487,(USA) TX SEALY 00437 WM SUPERCENTER,Posted 30+ Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/USA-TX-SEALY-00437-WM-SUPERCENTER/Exterior-Services-Technician_R-2369487-1
Walmart,ai engineer,Exterior Services Technician,R-2369467,"Cleveland, TX",Posted 30+ Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/Cleveland-TX/Exterior-Services-Technician_R-2369467-1
Walmart,ai engineer,Exterior Services Technician,R-2420384,(USA) TX CEDAR PARK 02991 WM SUPERCENTER,Posted 29 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/USA-TX-CEDAR-PARK-02991-WM-SUPERCENTER/Exterior-Services-Technician_R-2420384-1
Walmart,ai engineer,Exterior Services Technician,R-2434683,(USA) TX COPPERAS COVE 00381 WM SUPERCENTER,Posted 9 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/USA-TX-COPPERAS-COVE-00381-WM-SUPERCENTER/Exterior-Services-Technician_R-2434683-2
Walmart,ai engineer,Exterior Services Technician,R-2436862,2 Locations,Posted 13 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/USA-TX-HENDERSON-00165-WM-SUPERCENTER/Exterior-Services-Technician_R-2436862-1
Walmart,ai engineer,Exterior Services Technician,R-2446016,(USA) TX ABILENE 00535 WM SUPERCENTER,Posted 3 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/USA-TX-ABILENE-00535-WM-SUPERCENTER/Exterior-Services-Technician_R-2446016-1
Walmart,ai engineer,Exterior Services Technician,R-2448853,2 Locations,Posted 2 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/USA-TX-BROWNSVILLE-01000-WM-SUPERCENTER/Exterior-Services-Technician_R-2448853-2
Walmart,ai engineer,"Production Clerk, Manufacturing (Monday-Friday, 1st Shift) - $23/hr.",R-2441224,"Robinson, TX",Posted 3 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/Robinson-TX/Production-Clerk--Manufacturing--Monday-Friday--8-00am-4-30pm-----23-hr_R-2441224
Walmart,ai engineer,"Technician, Low Voltage, Licensed",R-2265793,"Carrollton, TX",Posted 16 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/Carrollton-TX/Technician--Low-Voltage--Licensed_R-2265793-1
Walmart,ai engineer,"Technician, Low Voltage, Licensed",R-2268131,5 Locations,Posted 30+ Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/USA-TX-LAREDO-05713-WM-SUPERCENTER/Technician--Low-Voltage--Licensed_R-2268131-1
Walmart,ai engineer,"Technician, Low Voltage, Licensed - $5,000 Sign On Bonus",R-2302709,"Lufkin, TX",Posted 9 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/Lufkin-TX/Technician--Low-Voltage--Licensed_R-2302709-2
Walmart,ai engineer,"Technician, Low Voltage, Licensed",R-2303682,"Waco, TX",Posted 30+ Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/Waco-TX/Technician--Low-Voltage--Licensed_R-2303682-1
Walmart,ai engineer,"Technician, Low Voltage, Licensed - $5,000 Sign On Bonus",R-2303880,"Longview, TX",Posted 9 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/Longview-TX/Technician--Low-Voltage--Licensed_R-2303880
Walmart,ai engineer,"Technician, Low Voltage, licensed",R-2310003,"Austin, TX",Posted 30+ Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/Austin-TX/Technician--Low-Voltage--licensed_R-2310003-1
Walmart,ai engineer,"Technician, Low Voltage, Licensed",R-2329604,2 Locations,Posted 30+ Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/San-Angelo-TX/Technician--Low-Voltage--Licensed_R-2329604-1
Walmart,ml engineer,"(USA) Solution Consultant III, Gen-AI - AI/ML Engineer",R-2441117,3 Locations,Posted 2 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/Irvine-CA/XMLNAME--USA--Solution-Consultant-III--Gen-AI---AI-ML-Engineer_R-2441117
Walmart,ml engineer,(USA) Software Engineer III,R-2408169,"Dallas, TX",Posted 30 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/Dallas-TX/XMLNAME--USA--Software-Engineer-III_R-2408169
Walmart,ml engineer,"(USA) Senior, Software Engineer",R-2381448,"Dallas, TX",Posted 30+ Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/Dallas-TX/XMLNAME--USA--Senior--Software-Engineer_R-2381448
Walmart,ml engineer,{},R-2411257,,,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal
Walmart,ml engineer,"(USA) Senior, Data Engineer",R-2399845,2 Locations,Posted 30+ Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/USA-VIZIO-SERVICES-DALLAS-TX-DALLAS-Home-Office/XMLNAME--USA--Senior--Data-Engineer_R-2399845-1
Walmart,business analyst,(USA) Senior Analyst-Quality Control,R-2438272,2 Locations,Posted 7 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/US-TX-TERRELL-06295-GROCERY/XMLNAME--USA--Senior-Analyst-Quality-Control_R-2438272
Walmart,business analyst,"(USA) Analyst II, Quality Engineer - Supply Chain",R-2443030,US TX PALESTINE 06005 FASHION,Posted 8 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/US-TX-PALESTINE-06005-FASHION/XMLNAME--USA--Analyst-II--Quality-Engineer---Supply-Chain_R-2443030-1
